0.00.019.696 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.710 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.019.714 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.019.817 I srv          init: The UI is disabled
0.00.019.820 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.026.316 I srv    load_model: loading model './models/bge-small-en-v1.5-q8.gguf'
0.00.093.894 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.115.649 W srv    load_model: speculative decoding not supported by this context
0.00.115.655 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.119.153 I srv  llama_server: model loaded
0.00.119.159 I srv  llama_server: listening on http://127.0.0.1:8091
0.08.325.705 I slot      release: id  2 | task 120 | stop processing: n_tokens = 7, truncated = 0
0.08.326.996 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 8134544
0.08.327.005 I slot launch_slot_: id  1 | task 122 | processing task, is_child = 0
0.08.329.449 I slot      release: id  1 | task 122 | stop processing: n_tokens = 12, truncated = 0
0.08.354.621 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.167
0.08.354.630 I slot launch_slot_: id  1 | task 124 | processing task, is_child = 0
0.08.356.608 I slot      release: id  1 | task 124 | stop processing: n_tokens = 5, truncated = 0
0.08.357.886 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.200
0.08.357.897 I slot launch_slot_: id  1 | task 126 | processing task, is_child = 0
0.08.359.765 I slot      release: id  1 | task 126 | stop processing: n_tokens = 6, truncated = 0
0.08.360.774 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.167
0.08.360.783 I slot launch_slot_: id  1 | task 128 | processing task, is_child = 0
0.08.362.511 I slot      release: id  1 | task 128 | stop processing: n_tokens = 6, truncated = 0
0.08.363.831 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.167
0.08.363.836 I slot launch_slot_: id  1 | task 130 | processing task, is_child = 0
0.08.365.706 I slot      release: id  1 | task 130 | stop processing: n_tokens = 9, truncated = 0
0.08.386.101 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.500 (> 0.100 thold), f_keep = 0.222
0.08.386.113 I slot launch_slot_: id  1 | task 132 | processing task, is_child = 0
0.08.388.019 I slot      release: id  1 | task 132 | stop processing: n_tokens = 4, truncated = 0
0.08.402.097 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.250
0.08.402.105 I slot launch_slot_: id  1 | task 134 | processing task, is_child = 0
0.08.404.184 I slot      release: id  1 | task 134 | stop processing: n_tokens = 6, truncated = 0
0.08.418.102 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.167
0.08.418.110 I slot launch_slot_: id  1 | task 136 | processing task, is_child = 0
0.08.420.040 I slot      release: id  1 | task 136 | stop processing: n_tokens = 7, truncated = 0
0.08.434.195 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8150588
0.08.434.204 I slot launch_slot_: id  0 | task 138 | processing task, is_child = 0
0.08.438.130 I slot      release: id  0 | task 138 | stop processing: n_tokens = 24, truncated = 0
0.08.450.088 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.042
0.08.450.098 I slot launch_slot_: id  0 | task 140 | processing task, is_child = 0
0.08.452.364 I slot      release: id  0 | task 140 | stop processing: n_tokens = 9, truncated = 0
0.08.466.306 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.111
0.08.466.321 I slot launch_slot_: id  0 | task 142 | processing task, is_child = 0
0.08.468.432 I slot      release: id  0 | task 142 | stop processing: n_tokens = 6, truncated = 0
0.08.469.890 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 8201750
0.08.469.900 I slot launch_slot_: id  3 | task 144 | processing task, is_child = 0
0.08.471.956 I slot      release: id  3 | task 144 | stop processing: n_tokens = 10, truncated = 0
0.08.497.546 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 8260720
